i,time,side,entry,sl,tp,atr,R,risk_usd,pnl_usd,equity_after,outcome
1,2025-07-21T14:03:00+00:00,buy,1.16492,1.16471,1.16556,0.00014,3.0,2.0,6.0,106.0,TP
2,2025-07-21T14:07:00+00:00,buy,1.1652,1.16499,1.16582,0.00014,3.0,2.12,6.36,112.36,TP
3,2025-07-21T14:08:00+00:00,buy,1.16537,1.16515,1.16603,0.00015,3.0,2.25,6.74,119.1,TP
4,2025-07-21T14:18:00+00:00,buy,1.16596,1.16569,1.16677,0.00018,3.0,2.38,7.15,126.25,TP
5,2025-07-21T14:24:00+00:00,buy,1.16622,1.16592,1.16711,0.0002,-1.0,2.52,-2.52,123.72,SL
6,2025-07-21T14:46:00+00:00,buy,1.16662,1.16635,1.16742,0.00018,-1.0,2.47,-2.47,121.25,SL
7,2025-07-21T14:47:00+00:00,buy,1.16649,1.16622,1.16729,0.00018,-1.0,2.42,-2.42,118.82,SL
8,2025-07-21T14:48:00+00:00,buy,1.16667,1.1664,1.16748,0.00018,-1.0,2.38,-2.38,116.45,SL
9,2025-07-21T14:57:00+00:00,buy,1.16675,1.16649,1.16752,0.00017,-1.0,2.33,-2.33,114.12,SL
10,2025-07-21T14:58:00+00:00,buy,1.16682,1.16656,1.16759,0.00017,-1.0,2.28,-2.28,111.84,SL
11,2025-07-21T15:12:00+00:00,buy,1.16722,1.16694,1.16807,0.00019,-1.0,2.24,-2.24,109.6,SL
12,2025-07-21T17:00:00+00:00,buy,1.16672,1.16646,1.16749,0.00017,3.0,2.19,6.58,116.17,TP
13,2025-07-21T17:01:00+00:00,buy,1.16746,1.16712,1.16847,0.00023,3.0,2.32,6.97,123.15,TP
14,2025-07-21T17:02:00+00:00,buy,1.1674,1.16705,1.16844,0.00023,3.0,2.46,7.39,130.53,TP
15,2025-07-21T17:03:00+00:00,buy,1.16736,1.16702,1.16838,0.00023,3.0,2.61,7.83,138.37,TP
16,2025-07-21T17:04:00+00:00,buy,1.16773,1.16736,1.16885,0.00025,3.0,2.77,8.3,146.67,TP
17,2025-07-21T17:07:00+00:00,buy,1.16816,1.16771,1.1695,0.0003,-1.0,2.93,-2.93,143.73,SL
18,2025-07-21T17:31:00+00:00,buy,1.16856,1.16819,1.16968,0.00025,3.0,2.87,8.62,152.36,TP
19,2025-07-21T17:33:00+00:00,buy,1.16871,1.16835,1.1698,0.00024,-1.0,3.05,-3.05,149.31,SL
20,2025-07-21T17:36:00+00:00,buy,1.16895,1.16854,1.17019,0.00028,3.0,2.99,8.96,158.27,TP
21,2025-07-21T17:37:00+00:00,buy,1.16895,1.16856,1.17012,0.00026,3.0,3.17,9.5,167.77,TP
22,2025-07-21T17:38:00+00:00,buy,1.16915,1.16876,1.17032,0.00026,-1.0,3.36,-3.36,164.41,SL
23,2025-07-21T17:55:00+00:00,buy,1.16957,1.16917,1.17077,0.00027,3.0,3.29,9.86,174.28,TP
24,2025-07-21T17:56:00+00:00,buy,1.16968,1.16928,1.17087,0.00026,3.0,3.49,10.46,184.73,TP
