i,time,side,entry,sl,tp,atr,R,risk_usd,pnl_usd,equity_after,outcome
1,2025-05-07T18:19:00+00:00,sell,1.13576,1.13612,1.13467,0.00024,3.0,2.0,6.0,106.0,TP
2,2025-05-07T18:20:00+00:00,sell,1.13542,1.1358,1.13428,0.00025,3.0,2.12,6.36,112.36,TP
3,2025-05-07T18:21:00+00:00,sell,1.13492,1.13533,1.13369,0.00027,3.0,2.25,6.74,119.1,TP
4,2025-05-07T18:22:00+00:00,sell,1.13487,1.13527,1.13368,0.00027,-1.0,2.38,-2.38,116.72,SL
5,2025-05-07T18:27:00+00:00,sell,1.13442,1.13489,1.13301,0.00031,-1.0,2.33,-2.33,114.39,SL
6,2025-05-07T18:28:00+00:00,sell,1.13433,1.13479,1.13296,0.0003,-1.0,2.29,-2.29,112.1,SL
7,2025-05-07T19:00:00+00:00,sell,1.1343,1.13464,1.13329,0.00022,-1.0,2.24,-2.24,109.86,SL
8,2025-05-07T19:01:00+00:00,sell,1.13397,1.13432,1.13292,0.00023,-1.0,2.2,-2.2,107.66,SL
9,2025-05-07T19:02:00+00:00,sell,1.13405,1.13439,1.13302,0.00023,-1.0,2.15,-2.15,105.51,SL
10,2025-05-07T19:03:00+00:00,sell,1.13396,1.13431,1.1329,0.00024,-1.0,2.11,-2.11,103.4,SL
11,2025-05-07T19:04:00+00:00,sell,1.13375,1.13412,1.13264,0.00025,-1.0,2.07,-2.07,101.33,SL
12,2025-05-07T20:45:00+00:00,sell,1.13363,1.13389,1.13285,0.00017,-1.0,2.03,-2.03,99.3,SL
13,2025-05-07T20:59:00+00:00,sell,1.13338,1.13379,1.13215,0.00027,-1.0,1.99,-1.99,97.31,SL
14,2025-05-07T21:00:00+00:00,sell,1.13356,1.13404,1.13212,0.00032,-1.0,1.95,-1.95,95.37,SL
15,2025-05-07T22:02:00+00:00,sell,1.13235,1.13319,1.12984,0.00056,3.0,1.91,5.72,101.09,TP
16,2025-05-07T22:03:00+00:00,sell,1.13246,1.13327,1.13003,0.00054,3.0,2.02,6.07,107.16,TP
17,2025-05-07T22:04:00+00:00,sell,1.13201,1.13284,1.12951,0.00056,3.0,2.14,6.43,113.59,TP
