i,time_utc,side,entry,sl,tp,atr,R,outcome,risk_usd,pnl_usd,equity_after
1,2025-09-08T08:20:00+00:00,buy,1.17185,1.17166,1.17241,0.00012,-1.0,SL,1.0,-1.0,99.0
2,2025-09-08T08:31:00+00:00,buy,1.17199,1.17182,1.17251,0.00012,-1.0,SL,0.99,-0.99,98.01
3,2025-09-08T09:14:00+00:00,buy,1.17231,1.17205,1.1731,0.00018,-1.0,SL,0.98,-0.98,97.03
4,2025-09-08T10:02:00+00:00,buy,1.17287,1.17253,1.1739,0.00023,-1.0,SL,0.97,-0.97,96.06
5,2025-09-08T10:36:00+00:00,buy,1.17308,1.17278,1.17397,0.0002,-1.0,SL,0.96,-0.96,95.1
6,2025-09-08T10:45:00+00:00,buy,1.17325,1.17295,1.17415,0.0002,-1.0,SL,0.95,-0.95,94.15
7,2025-09-08T11:02:00+00:00,buy,1.17381,1.1735,1.17475,0.00021,-1.0,SL,0.94,-0.94,93.21
8,2025-09-08T11:03:00+00:00,buy,1.17407,1.17374,1.17507,0.00022,-1.0,SL,0.93,-0.93,92.27
9,2025-09-08T11:04:00+00:00,buy,1.17418,1.17385,1.17518,0.00022,-1.0,SL,0.92,-0.92,91.35
10,2025-09-08T16:09:00+00:00,buy,1.17457,1.1742,1.17567,0.00024,-1.0,SL,0.91,-0.91,90.44
11,2025-09-08T16:13:00+00:00,buy,1.1752,1.17483,1.17631,0.00025,-1.0,SL,0.9,-0.9,89.53
12,2025-09-08T21:54:00+00:00,buy,1.17559,1.17538,1.17621,0.00014,3.0,TP,0.9,2.69,92.22
13,2025-09-08T21:55:00+00:00,buy,1.17587,1.17564,1.17655,0.00015,3.0,TP,0.92,2.77,94.99
14,2025-09-08T21:56:00+00:00,buy,1.17608,1.17582,1.17685,0.00017,-1.0,SL,0.95,-0.95,94.04
15,2025-09-08T21:57:00+00:00,buy,1.17613,1.17586,1.17694,0.00018,-1.0,SL,0.94,-0.94,93.1
16,2025-09-09T02:00:00+00:00,buy,1.1764,1.17626,1.17683,0.0001,3.0,TP,0.93,2.79,95.89
17,2025-09-09T02:02:00+00:00,buy,1.17642,1.17628,1.17685,0.0001,3.0,TP,0.96,2.88,98.77
18,2025-09-09T02:03:00+00:00,buy,1.17649,1.17635,1.17691,9e-05,3.0,TP,0.99,2.96,101.73
19,2025-09-09T02:07:00+00:00,buy,1.17653,1.1764,1.17692,9e-05,3.0,TP,1.02,3.05,104.78
20,2025-09-09T02:11:00+00:00,buy,1.17669,1.17655,1.17711,9e-05,3.0,TP,1.05,3.14,107.92
21,2025-09-09T02:12:00+00:00,buy,1.17681,1.17666,1.17727,0.0001,-1.0,SL,1.08,-1.08,106.84
22,2025-09-09T02:13:00+00:00,buy,1.17685,1.17669,1.17733,0.00011,-1.0,SL,1.07,-1.07,105.78
23,2025-09-09T02:19:00+00:00,buy,1.1769,1.17674,1.17737,0.0001,-1.0,SL,1.06,-1.06,104.72
24,2025-09-09T02:20:00+00:00,buy,1.17704,1.17687,1.17754,0.00011,-1.0,SL,1.05,-1.05,103.67
