i,time_lagos,side,entry,sl,tp,atr,R,outcome
1,2025-07-28T01:35:00+01:00,buy,1.17576,1.17547,1.17664,0.0002,3.0,TP
2,2025-07-28T01:37:00+01:00,buy,1.17601,1.17571,1.17691,0.0002,-1.0,SL
3,2025-07-28T01:38:00+01:00,buy,1.17597,1.17567,1.17686,0.0002,-1.0,SL
4,2025-07-28T22:05:00+01:00,sell,1.15863,1.15888,1.15789,0.00017,-1.0,SL
5,2025-07-29T04:49:00+01:00,sell,1.15894,1.1591,1.15847,0.0001,3.0,TP
6,2025-07-29T04:51:00+01:00,sell,1.15885,1.159,1.1584,0.0001,-1.0,SL
7,2025-07-29T04:52:00+01:00,sell,1.15886,1.15902,1.15839,0.0001,-1.0,SL
8,2025-07-29T04:53:00+01:00,sell,1.15882,1.15898,1.15834,0.00011,-1.0,SL
9,2025-07-29T04:54:00+01:00,sell,1.15851,1.1587,1.15795,0.00012,-1.0,SL
10,2025-07-29T04:55:00+01:00,sell,1.15856,1.15876,1.15796,0.00013,-1.0,SL
11,2025-07-29T04:58:00+01:00,sell,1.15851,1.15871,1.15791,0.00013,-1.0,SL
12,2025-07-29T04:59:00+01:00,sell,1.15846,1.15866,1.15786,0.00013,-1.0,SL
13,2025-07-29T07:31:00+01:00,sell,1.15889,1.15902,1.1585,9e-05,3.0,TP
14,2025-07-29T07:32:00+01:00,sell,1.15865,1.1588,1.1582,0.0001,3.0,TP
15,2025-07-29T07:33:00+01:00,sell,1.15861,1.15876,1.15816,0.0001,3.0,TP
16,2025-07-29T07:34:00+01:00,sell,1.15864,1.15879,1.15819,0.0001,3.0,TP
17,2025-07-29T07:35:00+01:00,sell,1.15846,1.15862,1.15797,0.00011,3.0,TP
18,2025-07-29T07:36:00+01:00,sell,1.1582,1.15838,1.15765,0.00012,-1.0,SL
19,2025-07-29T07:37:00+01:00,sell,1.15831,1.15851,1.15772,0.00013,-1.0,SL
20,2025-07-29T07:38:00+01:00,sell,1.15816,1.15836,1.15756,0.00013,-1.0,SL
21,2025-07-29T08:11:00+01:00,sell,1.15805,1.15823,1.15751,0.00012,3.0,TP
22,2025-07-29T08:13:00+01:00,sell,1.15802,1.15819,1.15751,0.00011,3.0,TP
23,2025-07-29T08:16:00+01:00,sell,1.1578,1.15798,1.15726,0.00012,-1.0,SL
24,2025-07-29T08:17:00+01:00,sell,1.15758,1.15778,1.15699,0.00013,-1.0,SL
25,2025-07-29T08:18:00+01:00,sell,1.15758,1.15779,1.15694,0.00014,-1.0,SL
26,2025-07-29T08:19:00+01:00,sell,1.1576,1.15782,1.15695,0.00015,-1.0,SL
27,2025-07-29T10:26:00+01:00,sell,1.15769,1.15799,1.1568,0.0002,3.0,TP
28,2025-07-29T10:28:00+01:00,sell,1.1576,1.15791,1.15667,0.00021,3.0,TP
29,2025-07-29T10:29:00+01:00,sell,1.1573,1.15762,1.15634,0.00021,3.0,TP
30,2025-07-29T10:30:00+01:00,sell,1.15708,1.1574,1.15611,0.00022,3.0,TP
31,2025-07-29T10:31:00+01:00,sell,1.15706,1.15737,1.15612,0.00021,3.0,TP
32,2025-07-29T10:33:00+01:00,sell,1.15646,1.15681,1.1554,0.00023,3.0,TP
33,2025-07-29T10:34:00+01:00,sell,1.15584,1.15628,1.15451,0.00029,-1.0,SL
34,2025-07-29T10:35:00+01:00,sell,1.15571,1.15616,1.15437,0.0003,-1.0,SL
35,2025-07-29T10:50:00+01:00,sell,1.15548,1.15597,1.15402,0.00033,3.0,TP
36,2025-07-29T10:55:00+01:00,sell,1.15428,1.15489,1.15244,0.00041,-1.0,SL
37,2025-07-29T10:56:00+01:00,sell,1.15441,1.15502,1.15259,0.0004,-1.0,SL
38,2025-07-29T10:57:00+01:00,sell,1.15348,1.15415,1.15147,0.00045,-1.0,SL
39,2025-07-29T10:58:00+01:00,sell,1.15358,1.15424,1.1516,0.00044,-1.0,SL
40,2025-07-29T10:59:00+01:00,sell,1.15331,1.15396,1.15135,0.00044,-1.0,SL
41,2025-07-29T11:10:00+01:00,sell,1.15279,1.15353,1.15057,0.00049,-1.0,SL
42,2025-07-29T11:38:00+01:00,sell,1.15327,1.15372,1.15191,0.0003,-1.0,SL
43,2025-07-29T17:00:00+01:00,sell,1.15247,1.15285,1.15133,0.00025,-1.0,SL
44,2025-07-29T17:01:00+01:00,sell,1.15233,1.15272,1.15117,0.00026,-1.0,SL
45,2025-07-29T17:10:00+01:00,sell,1.15225,1.15264,1.15109,0.00026,-1.0,SL
46,2025-07-29T17:12:00+01:00,sell,1.15216,1.15255,1.15099,0.00026,-1.0,SL
47,2025-07-29T17:35:00+01:00,sell,1.15202,1.15239,1.1509,0.00025,-1.0,SL
48,2025-07-30T10:03:00+01:00,sell,1.15446,1.1547,1.15373,0.00016,-1.0,SL
49,2025-07-30T10:04:00+01:00,sell,1.15409,1.15437,1.15326,0.00018,-1.0,SL
50,2025-07-30T10:05:00+01:00,sell,1.15413,1.15441,1.15328,0.00019,-1.0,SL
51,2025-07-30T14:36:00+01:00,sell,1.15386,1.15407,1.15323,0.00014,3.0,TP
52,2025-07-30T14:37:00+01:00,sell,1.15361,1.15384,1.15291,0.00016,-1.0,SL
53,2025-07-30T14:38:00+01:00,sell,1.1533,1.15355,1.15254,0.00017,-1.0,SL
54,2025-07-30T15:03:00+01:00,sell,1.15375,1.15401,1.15296,0.00018,3.0,TP
55,2025-07-30T15:07:00+01:00,sell,1.15339,1.15365,1.15262,0.00017,3.0,TP
56,2025-07-30T15:08:00+01:00,sell,1.15304,1.15332,1.1522,0.00019,-1.0,SL
57,2025-07-30T15:09:00+01:00,sell,1.15311,1.15339,1.15226,0.00019,-1.0,SL
58,2025-07-30T15:33:00+01:00,sell,1.15269,1.15292,1.15201,0.00015,-1.0,SL
59,2025-07-30T15:35:00+01:00,sell,1.15245,1.15269,1.15174,0.00016,-1.0,SL
60,2025-07-30T15:36:00+01:00,sell,1.15247,1.15271,1.15174,0.00016,-1.0,SL
61,2025-07-30T15:38:00+01:00,sell,1.15217,1.15241,1.15144,0.00016,-1.0,SL
62,2025-07-30T16:10:00+01:00,sell,1.15244,1.15273,1.15157,0.00019,3.0,TP
63,2025-07-30T16:11:00+01:00,sell,1.15247,1.15275,1.15162,0.00019,3.0,TP
64,2025-07-30T16:13:00+01:00,sell,1.15199,1.1523,1.15107,0.0002,3.0,TP
65,2025-07-30T16:14:00+01:00,sell,1.1519,1.15221,1.15097,0.00021,3.0,TP
66,2025-07-30T16:15:00+01:00,sell,1.15156,1.1519,1.15053,0.00023,-1.0,SL
67,2025-07-30T16:19:00+01:00,sell,1.15143,1.15181,1.15028,0.00025,-1.0,SL
68,2025-07-30T16:30:00+01:00,sell,1.15088,1.15135,1.14946,0.00032,3.0,TP
69,2025-07-30T16:31:00+01:00,sell,1.15012,1.15065,1.14854,0.00035,3.0,TP
70,2025-07-30T16:32:00+01:00,sell,1.15008,1.15059,1.14854,0.00034,3.0,TP
71,2025-07-30T16:33:00+01:00,sell,1.1495,1.15006,1.14781,0.00038,3.0,TP
72,2025-07-30T16:34:00+01:00,sell,1.14927,1.14989,1.14741,0.00041,3.0,TP
73,2025-07-30T16:35:00+01:00,sell,1.14888,1.14956,1.14683,0.00046,3.0,TP
74,2025-07-30T16:36:00+01:00,sell,1.14858,1.14926,1.14653,0.00046,-1.0,SL
75,2025-07-30T16:55:00+01:00,sell,1.1477,1.14836,1.14572,0.00044,-1.0,SL
76,2025-07-30T16:56:00+01:00,sell,1.14761,1.14826,1.14565,0.00044,-1.0,SL
77,2025-07-30T16:57:00+01:00,sell,1.14704,1.14773,1.14496,0.00046,-1.0,SL
78,2025-07-30T16:58:00+01:00,sell,1.14696,1.14766,1.14485,0.00047,-1.0,SL
79,2025-07-30T17:13:00+01:00,sell,1.14622,1.14688,1.14425,0.00044,-1.0,SL
80,2025-07-30T22:49:00+01:00,sell,1.1441,1.14519,1.14082,0.00073,3.0,TP
81,2025-07-30T22:50:00+01:00,sell,1.14333,1.14443,1.14002,0.00074,0.0,timeout
82,2025-07-30T22:53:00+01:00,sell,1.14289,1.14401,1.13953,0.00075,0.0,timeout
83,2025-07-30T23:05:00+01:00,sell,1.14157,1.14258,1.13855,0.00067,-1.0,SL
84,2025-07-31T00:20:00+01:00,sell,1.14119,1.14155,1.14011,0.00024,3.0,TP
85,2025-07-31T00:23:00+01:00,sell,1.14051,1.14094,1.13921,0.00029,-1.0,SL
86,2025-07-31T00:56:00+01:00,sell,1.14022,1.1405,1.13937,0.00019,-1.0,SL
87,2025-07-31T00:57:00+01:00,sell,1.1402,1.14049,1.13934,0.00019,-1.0,SL
88,2025-07-31T00:59:00+01:00,sell,1.14012,1.14042,1.13923,0.0002,-1.0,SL
89,2025-07-31T14:24:00+01:00,sell,1.14318,1.14343,1.14242,0.00017,3.0,TP
90,2025-07-31T14:29:00+01:00,sell,1.14274,1.14301,1.14193,0.00018,-1.0,SL
91,2025-07-31T14:30:00+01:00,sell,1.14251,1.1428,1.14164,0.00019,-1.0,SL
92,2025-07-31T14:33:00+01:00,sell,1.14236,1.14265,1.1415,0.00019,-1.0,SL
93,2025-07-31T14:34:00+01:00,sell,1.14215,1.14245,1.14126,0.0002,-1.0,SL
94,2025-07-31T14:36:00+01:00,sell,1.14204,1.14235,1.1411,0.00021,-1.0,SL
95,2025-07-31T17:09:00+01:00,sell,1.14141,1.14197,1.13973,0.00037,-1.0,SL
96,2025-07-31T17:10:00+01:00,sell,1.14161,1.14217,1.13994,0.00037,-1.0,SL
