i,time_lagos,side,entry,sl,tp,atr,R,outcome,equity_before,risk_usd,pnl_usd,equity_after
1,2025-07-28T01:35:00+01:00,buy,1.17576,1.17547,1.17664,0.0002,3.0,TP,100.0,1.0,3.0,103.0
2,2025-07-28T01:37:00+01:00,buy,1.17601,1.17571,1.17691,0.0002,-1.0,SL,103.0,1.03,-1.03,101.97
3,2025-07-28T01:38:00+01:00,buy,1.17597,1.17567,1.17686,0.0002,-1.0,SL,101.97,1.02,-1.02,100.95
4,2025-07-28T22:05:00+01:00,sell,1.15863,1.15888,1.15789,0.00017,-1.0,SL,100.95,1.01,-1.01,99.94
5,2025-07-29T04:49:00+01:00,sell,1.15894,1.1591,1.15847,0.0001,3.0,TP,99.94,1.0,3.0,102.94
6,2025-07-29T04:51:00+01:00,sell,1.15885,1.159,1.1584,0.0001,-1.0,SL,102.94,1.03,-1.03,101.91
7,2025-07-29T04:52:00+01:00,sell,1.15886,1.15902,1.15839,0.0001,-1.0,SL,101.91,1.02,-1.02,100.89
8,2025-07-29T04:53:00+01:00,sell,1.15882,1.15898,1.15834,0.00011,-1.0,SL,100.89,1.01,-1.01,99.88
9,2025-07-29T04:54:00+01:00,sell,1.15851,1.1587,1.15795,0.00012,-1.0,SL,99.88,1.0,-1.0,98.88
10,2025-07-29T04:55:00+01:00,sell,1.15856,1.15876,1.15796,0.00013,-1.0,SL,98.88,0.99,-0.99,97.89
11,2025-07-29T04:58:00+01:00,sell,1.15851,1.15871,1.15791,0.00013,-1.0,SL,97.89,0.98,-0.98,96.92
12,2025-07-29T04:59:00+01:00,sell,1.15846,1.15866,1.15786,0.00013,-1.0,SL,96.92,0.97,-0.97,95.95
13,2025-07-29T07:31:00+01:00,sell,1.15889,1.15902,1.1585,9e-05,3.0,TP,95.95,0.96,2.88,98.82
14,2025-07-29T07:32:00+01:00,sell,1.15865,1.1588,1.1582,0.0001,3.0,TP,98.82,0.99,2.96,101.79
