i,time_utc,side,entry,sl,tp,atr,R,outcome,risk_usd,pnl_usd,equity_after
1,2025-08-01T04:46:00+00:00,sell,1.14077,1.14105,1.13994,0.00018,-1.0,SL,1.0,-1.0,99.0
2,2025-08-01T04:50:00+00:00,sell,1.14052,1.14081,1.13966,0.00019,-1.0,SL,0.99,-0.99,98.01
3,2025-08-01T11:48:00+00:00,sell,1.14084,1.14111,1.14002,0.00018,-1.0,SL,0.98,-0.98,97.03
4,2025-08-01T11:49:00+00:00,sell,1.14056,1.14085,1.13969,0.00019,-1.0,SL,0.97,-0.97,96.06
5,2025-08-01T11:50:00+00:00,sell,1.14064,1.14093,1.13977,0.00019,-1.0,SL,0.96,-0.96,95.1
6,2025-08-01T12:16:00+00:00,sell,1.1407,1.1409,1.14009,0.00014,3.0,TP,0.95,2.85,97.95
7,2025-08-01T12:17:00+00:00,sell,1.14066,1.14086,1.14005,0.00013,3.0,TP,0.98,2.94,100.89
8,2025-08-01T12:21:00+00:00,sell,1.14055,1.14074,1.13999,0.00012,3.0,TP,1.01,3.03,103.92
9,2025-08-01T12:23:00+00:00,sell,1.14031,1.14054,1.13963,0.00015,-1.0,SL,1.04,-1.04,102.88
10,2025-08-01T12:45:00+00:00,sell,1.1399,1.14013,1.1392,0.00016,-1.0,SL,1.03,-1.03,101.85
11,2025-08-01T12:46:00+00:00,sell,1.13956,1.13982,1.13879,0.00017,-1.0,SL,1.02,-1.02,100.83
12,2025-08-01T12:47:00+00:00,sell,1.13971,1.13998,1.1389,0.00018,-1.0,SL,1.01,-1.01,99.82
13,2025-08-01T12:48:00+00:00,sell,1.13963,1.1399,1.13883,0.00018,-1.0,SL,1.0,-1.0,98.82
14,2025-08-01T12:49:00+00:00,sell,1.13931,1.1396,1.13845,0.00019,-1.0,SL,0.99,-0.99,97.84
15,2025-08-01T12:50:00+00:00,sell,1.13931,1.13959,1.13848,0.00019,-1.0,SL,0.98,-0.98,96.86
16,2025-08-04T04:00:00+00:00,sell,1.15558,1.15593,1.15452,0.00024,-1.0,SL,0.97,-0.97,95.89
17,2025-08-04T10:19:00+00:00,sell,1.15608,1.15658,1.15458,0.00033,-1.0,SL,0.96,-0.96,94.93
18,2025-08-04T10:30:00+00:00,sell,1.15564,1.15607,1.15436,0.00029,-1.0,SL,0.95,-0.95,93.98
19,2025-08-04T10:42:00+00:00,sell,1.1553,1.15569,1.15412,0.00026,-1.0,SL,0.94,-0.94,93.04
20,2025-08-06T20:33:00+00:00,buy,1.16513,1.16487,1.16592,0.00018,-1.0,SL,0.93,-0.93,92.11
21,2025-08-06T20:38:00+00:00,buy,1.16528,1.16503,1.16603,0.00017,-1.0,SL,0.92,-0.92,91.19
22,2025-08-06T21:08:00+00:00,buy,1.16552,1.16528,1.16623,0.00016,-1.0,SL,0.91,-0.91,90.28
23,2025-08-06T21:10:00+00:00,buy,1.16573,1.16549,1.16645,0.00016,-1.0,SL,0.9,-0.9,89.37
24,2025-08-06T21:26:00+00:00,buy,1.16586,1.16562,1.16659,0.00016,3.0,TP,0.89,2.68,92.06
25,2025-08-06T21:27:00+00:00,buy,1.16585,1.16562,1.16655,0.00015,3.0,TP,0.92,2.76,94.82
26,2025-08-06T21:29:00+00:00,buy,1.16603,1.1658,1.16672,0.00015,-1.0,SL,0.95,-0.95,93.87
27,2025-08-06T21:31:00+00:00,buy,1.16601,1.16577,1.16674,0.00016,3.0,TP,0.94,2.82,96.69
