time,side,entry_raw,entry,sl,tp,atr,spread_pts,lots,R,pnl_usd,equity_after,outcome
2025-01-02T10:20:00+00:00,sell,1.03511,1.03506,1.03541,1.03402,0.00023,4.0,0.01,3.0,1.2,21.2,TP
2025-01-02T12:30:00+00:00,sell,1.03495,1.0349,1.03512,1.03424,0.00015,4.0,0.01,3.0,1.27,22.47,TP
2025-01-02T12:50:00+00:00,sell,1.03191,1.03186,1.03244,1.03011,0.00039,4.0,0.01,0.0,0.0,22.47,BE
2025-01-07T14:42:00+00:00,sell,1.03941,1.03936,1.03976,1.03816,0.00027,4.0,0.01,3.0,1.35,23.82,TP
2025-01-08T09:00:00+00:00,sell,1.03472,1.03467,1.03492,1.03391,0.00017,4.0,0.01,3.0,1.43,25.25,TP
2025-01-08T09:30:00+00:00,sell,1.03424,1.03419,1.03446,1.03337,0.00018,4.0,0.01,3.0,1.51,26.76,TP
2025-01-08T09:50:00+00:00,sell,1.03326,1.03321,1.03352,1.03227,0.00021,4.0,0.01,3.0,1.61,28.37,TP
2025-01-08T13:15:00+00:00,sell,1.03111,1.03106,1.03135,1.03018,0.0002,4.0,0.01,3.0,1.7,30.07,TP
2025-01-08T13:35:00+00:00,sell,1.02823,1.02818,1.02883,1.02624,0.00043,4.0,0.01,0.0,0.0,30.07,BE
2025-01-09T08:05:00+00:00,sell,1.03038,1.03033,1.03047,1.02991,9e-05,4.0,0.04,3.0,1.8,31.88,TP
2025-01-09T09:42:00+00:00,sell,1.02945,1.0294,1.02972,1.02844,0.00021,4.0,0.01,3.0,1.91,33.79,TP
2025-01-09T10:02:00+00:00,sell,1.02897,1.02892,1.02924,1.02795,0.00022,4.0,0.02,0.0,0.0,33.79,BE
2025-01-10T07:49:00+00:00,sell,1.02899,1.02894,1.02904,1.02863,7e-05,4.0,0.06,3.0,2.03,35.82,TP
2025-01-10T08:49:00+00:00,sell,1.02822,1.02817,1.0283,1.02778,9e-05,4.0,0.05,-1.0,-0.72,35.1,SL
2025-01-13T06:15:00+00:00,sell,1.02156,1.02151,1.0217,1.02095,0.00013,4.0,0.03,3.0,2.11,37.21,TP
2025-01-13T06:35:00+00:00,sell,1.02107,1.02102,1.02125,1.02034,0.00015,4.0,0.03,0.0,0.0,37.21,BE
