time,side,entry,sl,tp,atr,R,risk_usd,pnl_usd,equity_after,outcome
2025-09-08T08:20:00+00:00,buy,1.17185,1.17166,1.17241,0.00012,-1.0,2.0,-2.0,98.0,SL
2025-09-08T08:31:00+00:00,buy,1.17199,1.17182,1.17251,0.00012,-1.0,1.96,-1.96,96.04,SL
2025-09-08T09:14:00+00:00,buy,1.17231,1.17205,1.1731,0.00018,-1.0,1.92,-1.92,94.12,SL
2025-09-08T09:32:00+00:00,buy,1.17219,1.17186,1.17318,0.00022,-1.0,1.88,-1.88,92.24,SL
2025-09-08T10:02:00+00:00,buy,1.17287,1.17253,1.1739,0.00023,-1.0,1.84,-1.84,90.39,SL
2025-09-08T10:21:00+00:00,buy,1.17282,1.17247,1.17386,0.00023,-1.0,1.81,-1.81,88.58,SL
2025-09-08T10:36:00+00:00,buy,1.17308,1.17278,1.17397,0.0002,-1.0,1.77,-1.77,86.81,SL
2025-09-08T10:45:00+00:00,buy,1.17325,1.17295,1.17415,0.0002,-1.0,1.74,-1.74,85.08,SL
2025-09-08T11:02:00+00:00,buy,1.17381,1.1735,1.17475,0.00021,-1.0,1.7,-1.7,83.37,SL
2025-09-08T11:03:00+00:00,buy,1.17407,1.17374,1.17507,0.00022,-1.0,1.67,-1.67,81.71,SL
2025-09-08T11:04:00+00:00,buy,1.17418,1.17385,1.17518,0.00022,-1.0,1.63,-1.63,80.07,SL
2025-09-08T16:09:00+00:00,buy,1.17457,1.1742,1.17567,0.00024,-1.0,1.6,-1.6,78.47,SL
2025-09-08T16:10:00+00:00,buy,1.17466,1.1743,1.17574,0.00024,-1.0,1.57,-1.57,76.9,SL
2025-09-08T16:11:00+00:00,buy,1.17481,1.17445,1.17588,0.00024,-1.0,1.54,-1.54,75.36,SL
2025-09-08T16:13:00+00:00,buy,1.1752,1.17483,1.17631,0.00025,-1.0,1.51,-1.51,73.86,SL
2025-09-08T16:36:00+00:00,buy,1.17544,1.17507,1.17656,0.00025,-1.0,1.48,-1.48,72.38,SL
2025-09-08T21:51:00+00:00,buy,1.1756,1.1754,1.17619,0.00013,3.0,1.45,4.34,76.72,TP
2025-09-08T21:54:00+00:00,buy,1.17559,1.17538,1.17621,0.00014,3.0,1.53,4.6,81.33,TP
2025-09-08T21:55:00+00:00,buy,1.17587,1.17564,1.17655,0.00015,3.0,1.63,4.88,86.21,TP
2025-09-08T21:56:00+00:00,buy,1.17608,1.17582,1.17685,0.00017,-1.0,1.72,-1.72,84.48,SL
2025-09-08T21:57:00+00:00,buy,1.17613,1.17586,1.17694,0.00018,-1.0,1.69,-1.69,82.79,SL
2025-09-09T02:00:00+00:00,buy,1.1764,1.17626,1.17683,0.0001,3.0,1.66,4.97,87.76,TP
2025-09-09T02:01:00+00:00,buy,1.17646,1.17632,1.17689,0.0001,3.0,1.76,5.27,93.02,TP
2025-09-09T02:02:00+00:00,buy,1.17642,1.17628,1.17685,0.0001,3.0,1.86,5.58,98.61,TP
2025-09-09T02:03:00+00:00,buy,1.17649,1.17635,1.17691,9e-05,3.0,1.97,5.92,104.52,TP
2025-09-09T02:07:00+00:00,buy,1.17653,1.1764,1.17692,9e-05,3.0,2.09,6.27,110.79,TP
2025-09-09T02:11:00+00:00,buy,1.17669,1.17655,1.17711,9e-05,3.0,2.22,6.65,117.44,TP
2025-09-09T02:12:00+00:00,buy,1.17681,1.17666,1.17727,0.0001,-1.0,2.35,-2.35,115.09,SL
2025-09-09T02:13:00+00:00,buy,1.17685,1.17669,1.17733,0.00011,-1.0,2.3,-2.3,112.79,SL
2025-09-09T02:19:00+00:00,buy,1.1769,1.17674,1.17737,0.0001,-1.0,2.26,-2.26,110.54,SL
2025-09-09T02:20:00+00:00,buy,1.17704,1.17687,1.17754,0.00011,-1.0,2.21,-2.21,108.32,SL
2025-09-09T02:22:00+00:00,buy,1.17712,1.17694,1.17765,0.00012,-1.0,2.17,-2.17,106.16,SL
2025-09-09T02:23:00+00:00,buy,1.17724,1.17705,1.1778,0.00012,-1.0,2.12,-2.12,104.03,SL
2025-09-09T02:24:00+00:00,buy,1.17725,1.17707,1.17779,0.00012,-1.0,2.08,-2.08,101.95,SL
2025-09-09T04:48:00+00:00,buy,1.17724,1.17705,1.1778,0.00012,-1.0,2.04,-2.04,99.92,SL
2025-09-09T04:49:00+00:00,buy,1.17732,1.17713,1.17788,0.00012,-1.0,2.0,-2.0,97.92,SL
2025-09-09T04:53:00+00:00,buy,1.1777,1.1775,1.1783,0.00013,-1.0,1.96,-1.96,95.96,SL
2025-09-09T04:54:00+00:00,buy,1.17761,1.17741,1.17822,0.00013,-1.0,1.92,-1.92,94.04,SL
2025-09-09T04:55:00+00:00,buy,1.17768,1.17748,1.17829,0.00014,-1.0,1.88,-1.88,92.16,SL
2025-09-09T08:53:00+00:00,buy,1.17779,1.17759,1.1784,0.00014,-1.0,1.84,-1.84,90.32,SL
2025-09-09T08:54:00+00:00,buy,1.17793,1.17771,1.17858,0.00015,-1.0,1.81,-1.81,88.51,SL
2025-09-09T08:55:00+00:00,buy,1.17794,1.17772,1.1786,0.00015,-1.0,1.77,-1.77,86.74,SL
2025-09-10T07:16:00+00:00,buy,1.17108,1.17094,1.17149,9e-05,-1.0,1.73,-1.73,85.0,SL
