time,side,entry_raw,entry,sl,tp,atr,spread_pts,lots,R,pnl_usd,equity_after,outcome
2025-01-02T10:20:00+00:00,sell,1.03511,1.03508,1.03543,1.03404,0.00023,4.0,0.01,3.0,1.13,21.13,TP
2025-01-02T12:30:00+00:00,sell,1.03495,1.03492,1.03514,1.03426,0.00015,4.0,0.01,3.0,1.2,22.33,TP
2025-01-02T12:50:00+00:00,sell,1.03191,1.03188,1.03246,1.03013,0.00039,4.0,0.01,0.0,-0.07,22.26,BE
2025-01-07T14:42:00+00:00,sell,1.03941,1.03938,1.03978,1.03818,0.00027,4.0,0.01,3.0,1.27,23.52,TP
2025-01-08T09:00:00+00:00,sell,1.03472,1.03469,1.03494,1.03393,0.00017,4.0,0.01,3.0,1.34,24.86,TP
2025-01-08T09:30:00+00:00,sell,1.03424,1.03421,1.03448,1.03339,0.00018,4.0,0.01,3.0,1.42,26.29,TP
2025-01-08T09:50:00+00:00,sell,1.03326,1.03323,1.03354,1.03229,0.00021,4.0,0.01,3.0,1.51,27.79,TP
2025-01-08T13:15:00+00:00,sell,1.03111,1.03108,1.03137,1.0302,0.0002,4.0,0.01,3.0,1.6,29.39,TP
2025-01-08T13:35:00+00:00,sell,1.02823,1.0282,1.02885,1.02626,0.00043,4.0,0.01,0.0,-0.07,29.32,BE
2025-01-09T08:05:00+00:00,sell,1.03038,1.03035,1.03049,1.02993,9e-05,4.0,0.04,3.0,1.48,30.8,TP
2025-01-09T09:42:00+00:00,sell,1.02945,1.02942,1.02974,1.02846,0.00021,4.0,0.01,3.0,1.78,32.58,TP
2025-01-09T10:02:00+00:00,sell,1.02897,1.02894,1.02926,1.02797,0.00022,4.0,0.02,0.0,-0.14,32.44,BE
2025-01-10T07:49:00+00:00,sell,1.02899,1.02896,1.02906,1.02865,7e-05,4.0,0.06,3.0,1.53,33.97,TP
2025-01-10T08:49:00+00:00,sell,1.02822,1.02819,1.02832,1.0278,9e-05,4.0,0.05,-1.0,-1.03,32.94,SL
2025-01-13T06:15:00+00:00,sell,1.02156,1.02153,1.02172,1.02097,0.00013,4.0,0.03,3.0,1.77,34.7,TP
2025-01-13T06:35:00+00:00,sell,1.02107,1.02104,1.02127,1.02036,0.00015,4.0,0.03,0.0,-0.21,34.49,BE
