time,side,entry,sl,tp,atr,R,risk_usd,pnl_usd,equity_after,outcome
2025-06-04T10:22:00+00:00,buy,1.13889,1.13856,1.13987,0.00022,3.0,2.0,6.0,106.0,TP
2025-06-05T13:15:00+00:00,buy,1.14262,1.14237,1.14336,0.00017,3.0,2.12,6.36,112.36,TP
2025-06-05T15:33:00+00:00,buy,1.14448,1.14369,1.14686,0.00053,3.0,2.25,6.74,119.1,TP
2025-06-12T12:49:00+00:00,buy,1.1563,1.15594,1.15739,0.00024,3.0,2.38,7.15,126.25,TP
2025-06-12T13:17:00+00:00,buy,1.15818,1.15756,1.16005,0.00042,3.0,2.52,7.57,133.82,TP
2025-06-12T13:51:00+00:00,buy,1.15963,1.15893,1.16174,0.00047,3.0,2.68,8.03,141.85,TP
2025-06-12T15:30:00+00:00,buy,1.16271,1.16197,1.16494,0.00049,-1.0,2.84,-2.84,139.01,SL
2025-06-18T07:56:00+00:00,buy,1.15067,1.15051,1.15116,0.00011,3.0,2.78,8.34,147.36,TP
2025-06-18T09:01:00+00:00,buy,1.15061,1.15037,1.15132,0.00016,3.0,2.95,8.84,156.2,TP
2025-06-18T09:23:00+00:00,buy,1.15113,1.15082,1.15207,0.00021,3.0,3.12,9.37,165.57,TP
2025-06-18T10:02:00+00:00,buy,1.15166,1.15132,1.15268,0.00023,0.0,3.31,0.0,165.57,BE
2025-06-20T06:46:00+00:00,buy,1.15264,1.15237,1.15344,0.00018,0.0,3.31,0.0,165.57,BE
2025-06-24T09:17:00+00:00,buy,1.16167,1.16123,1.16299,0.00029,0.0,3.31,0.0,165.57,BE
2025-06-26T06:05:00+00:00,buy,1.17059,1.17019,1.17179,0.00027,0.0,3.31,0.0,165.57,BE
2025-06-27T06:27:00+00:00,buy,1.1707,1.17052,1.17123,0.00012,0.0,3.31,0.0,165.57,BE
2025-06-27T10:00:00+00:00,buy,1.17186,1.17145,1.17309,0.00027,0.0,3.31,0.0,165.57,BE
2025-06-27T15:31:00+00:00,buy,1.17265,1.17208,1.17435,0.00038,3.0,3.31,9.93,175.5,TP
2025-06-27T15:51:00+00:00,buy,1.17375,1.17306,1.17582,0.00046,0.0,3.51,0.0,175.5,BE
2025-06-30T08:00:00+00:00,buy,1.17313,1.1729,1.17381,0.00015,3.0,3.51,10.53,186.03,TP
2025-06-30T09:44:00+00:00,buy,1.17382,1.17348,1.17485,0.00023,3.0,3.72,11.16,197.2,TP
