i,time_utc,time_lagos,side,entry,sl,tp,atr,R,outcome,risk_usd,pnl_usd,equity_after
1,2025-09-01T09:04:00+00:00,2025-09-01T10:04:00+01:00,buy,1.17162,1.17144,1.17217,0.00012,3.0,TP,1.0,3.0,103.0
2,2025-09-01T09:05:00+00:00,2025-09-01T10:05:00+01:00,buy,1.17229,1.17204,1.17303,0.00016,-1.0,SL,1.03,-1.03,101.97
3,2025-09-01T09:06:00+00:00,2025-09-01T10:06:00+01:00,buy,1.17217,1.17192,1.17292,0.00017,-1.0,SL,1.02,-1.02,100.95
4,2025-09-01T09:07:00+00:00,2025-09-01T10:07:00+01:00,buy,1.17234,1.17209,1.1731,0.00017,-1.0,SL,1.01,-1.01,99.94
5,2025-09-01T09:30:00+00:00,2025-09-01T10:30:00+01:00,buy,1.17233,1.1721,1.17302,0.00015,-1.0,SL,1.0,-1.0,98.94
6,2025-09-01T09:34:00+00:00,2025-09-01T10:34:00+01:00,buy,1.17253,1.17226,1.17333,0.00018,-1.0,SL,0.99,-0.99,97.95
7,2025-09-01T09:35:00+00:00,2025-09-01T10:35:00+01:00,buy,1.17254,1.17228,1.17333,0.00017,-1.0,SL,0.98,-0.98,96.97
8,2025-09-01T09:37:00+00:00,2025-09-01T10:37:00+01:00,buy,1.17298,1.1727,1.17382,0.00019,-1.0,SL,0.97,-0.97,96.0
9,2025-09-01T09:38:00+00:00,2025-09-01T10:38:00+01:00,buy,1.17298,1.17269,1.17386,0.0002,-1.0,SL,0.96,-0.96,95.04
10,2025-09-01T11:45:00+00:00,2025-09-01T12:45:00+01:00,buy,1.17274,1.17249,1.1735,0.00017,3.0,TP,0.95,2.85,97.89
11,2025-09-01T11:49:00+00:00,2025-09-01T12:49:00+01:00,buy,1.17311,1.17287,1.17383,0.00016,-1.0,SL,0.98,-0.98,96.92
12,2025-09-01T11:50:00+00:00,2025-09-01T12:50:00+01:00,buy,1.17325,1.17301,1.17397,0.00016,-1.0,SL,0.97,-0.97,95.95
13,2025-09-01T11:51:00+00:00,2025-09-01T12:51:00+01:00,buy,1.17346,1.1732,1.17425,0.00018,-1.0,SL,0.96,-0.96,94.99
14,2025-09-01T22:45:00+00:00,2025-09-01T23:45:00+01:00,buy,1.17117,1.17109,1.1714,5e-05,-1.0,SL,0.95,-0.95,94.04
15,2025-09-01T22:54:00+00:00,2025-09-01T23:54:00+01:00,buy,1.17132,1.17124,1.17155,5e-05,-1.0,SL,0.94,-0.94,93.1
16,2025-09-01T22:55:00+00:00,2025-09-01T23:55:00+01:00,buy,1.17131,1.17124,1.17153,5e-05,-1.0,SL,0.93,-0.93,92.17
17,2025-09-02T02:38:00+00:00,2025-09-02T03:38:00+01:00,buy,1.17141,1.17132,1.17167,6e-05,3.0,TP,0.92,2.76,94.93
18,2025-09-02T02:44:00+00:00,2025-09-02T03:44:00+01:00,buy,1.17148,1.17139,1.17175,6e-05,3.0,TP,0.95,2.85,97.78
19,2025-09-02T02:45:00+00:00,2025-09-02T03:45:00+01:00,buy,1.17158,1.17148,1.17187,6e-05,-1.0,SL,0.98,-0.98,96.8
20,2025-09-02T02:46:00+00:00,2025-09-02T03:46:00+01:00,buy,1.17156,1.17146,1.17185,6e-05,-1.0,SL,0.97,-0.97,95.83
21,2025-09-02T02:48:00+00:00,2025-09-02T03:48:00+01:00,buy,1.17169,1.17159,1.172,7e-05,-1.0,SL,0.96,-0.96,94.87
22,2025-09-02T02:49:00+00:00,2025-09-02T03:49:00+01:00,buy,1.17174,1.17164,1.17205,7e-05,-1.0,SL,0.95,-0.95,93.93
23,2025-09-02T21:40:00+00:00,2025-09-02T22:40:00+01:00,sell,1.16315,1.16331,1.16266,0.00011,-1.0,SL,0.94,-0.94,92.99
24,2025-09-02T21:41:00+00:00,2025-09-02T22:41:00+01:00,sell,1.16321,1.16338,1.16271,0.00011,-1.0,SL,0.93,-0.93,92.06
25,2025-09-03T03:02:00+00:00,2025-09-03T04:02:00+01:00,sell,1.16324,1.16334,1.16295,6e-05,3.0,TP,0.92,2.76,94.82
