trades,wins,losses,be_or_to,winrate,total_R,tp_R,adx_min,vol_mult,bos_w,entry_mode,squeeze
93,68,9,16,88.31168831168831,161.0,2.5,18,1.1,2,either,False
99,72,10,17,87.8048780487805,170.0,2.5,18,1.05,2,either,False
93,60,9,24,86.95652173913044,171.0,3.0,18,1.1,2,either,False
99,64,10,25,86.48648648648648,182.0,3.0,18,1.05,2,either,False
12,8,3,1,72.72727272727273,21.0,3.0,18,1.05,2,either,True
12,8,3,1,72.72727272727273,21.0,3.0,18,1.1,2,either,True
12,8,3,1,72.72727272727273,17.0,2.5,18,1.05,2,either,True
12,8,3,1,72.72727272727273,17.0,2.5,18,1.1,2,either,True
0,0,0,0,0.0,0.0,2.5,18,1.05,2,pullback,False
0,0,0,0,0.0,0.0,2.5,18,1.05,2,pullback,True
0,0,0,0,0.0,0.0,2.5,18,1.1,2,pullback,False
0,0,0,0,0.0,0.0,2.5,18,1.1,2,pullback,True
0,0,0,0,0.0,0.0,3.0,18,1.05,2,pullback,False
0,0,0,0,0.0,0.0,3.0,18,1.05,2,pullback,True
0,0,0,0,0.0,0.0,3.0,18,1.1,2,pullback,False
0,0,0,0,0.0,0.0,3.0,18,1.1,2,pullback,True
